event_id,customer_id,event_date,event_type,plan_before,plan_after,mrr_before,mrr_after
EVT-000049,CUST-00027,2023-01-22,signup,,Business,0,49
EVT-000097,CUST-00052,2023-01-22,signup,,Pro,0,15
EVT-000056,CUST-00031,2023-01-23,signup,,Enterprise,0,199
EVT-000010,CUST-00005,2023-01-24,signup,,Enterprise,0,199
EVT-000075,CUST-00041,2023-01-25,signup,,Pro,0,15
EVT-000104,CUST-00056,2023-01-25,signup,,Business,0,49
EVT-000025,CUST-00014,2023-01-26,signup,,Free,0,0
EVT-000073,CUST-00040,2023-01-27,signup,,Free,0,0
EVT-000088,CUST-00048,2023-01-27,signup,,Pro,0,15
EVT-000074,CUST-00040,2023-02-01,cancel,Free,Cancelled,0,0
EVT-000107,CUST-00057,2023-02-01,cancel,Free,Cancelled,0,0
EVT-000162,CUST-00084,2023-02-01,signup,,Pro,0,15
EVT-000182,CUST-00093,2023-02-01,signup,,Business,0,49
EVT-000227,CUST-00114,2023-02-01,signup,,Pro,0,15
EVT-000061,CUST-00033,2023-02-02,cancel,Free,Cancelled,0,0
EVT-000201,CUST-00102,2023-02-02,signup,,Business,0,49
EVT-000083,CUST-00045,2023-02-03,cancel,Business,Cancelled,49,0
EVT-000128,CUST-00069,2023-02-03,signup,,Free,0,0
EVT-000168,CUST-00087,2023-02-03,signup,,Pro,0,15
EVT-000175,CUST-00090,2023-02-03,signup,,Pro,0,15
EVT-000205,CUST-00104,2023-02-03,signup,,Pro,0,15
EVT-000270,CUST-00135,2023-02-03,signup,,Pro,0,15
EVT-000117,CUST-00064,2023-02-04,signup,,Pro,0,15
EVT-000121,CUST-00066,2023-02-04,signup,,Free,0,0
EVT-000136,CUST-00073,2023-02-04,signup,,Pro,0,15
EVT-000158,CUST-00082,2023-02-04,signup,,Pro,0,15
EVT-000160,CUST-00083,2023-02-04,signup,,Business,0,49
EVT-000193,CUST-00098,2023-02-04,signup,,Free,0,0
EVT-000218,CUST-00110,2023-02-04,signup,,Free,0,0
EVT-000268,CUST-00134,2023-02-04,signup,,Pro,0,15
EVT-000263,CUST-00132,2023-02-05,signup,,Pro,0,15
EVT-000116,CUST-00063,2023-02-06,signup,,Free,0,0
EVT-000180,CUST-00092,2023-02-06,signup,,Free,0,0
EVT-000225,CUST-00113,2023-02-06,signup,,Free,0,0
EVT-000261,CUST-00131,2023-02-06,signup,,Pro,0,15
EVT-000177,CUST-00091,2023-02-07,signup,,Pro,0,15
EVT-000228,CUST-00115,2023-02-07,signup,,Free,0,0
EVT-000163,CUST-00085,2023-02-08,signup,,Pro,0,15
EVT-000170,CUST-00088,2023-02-08,signup,,Business,0,49
EVT-000276,CUST-00138,2023-02-08,signup,,Free,0,0
EVT-000112,CUST-00060,2023-02-09,signup,,Enterprise,0,199
EVT-000146,CUST-00077,2023-02-09,signup,,Free,0,0
EVT-000165,CUST-00086,2023-02-09,signup,,Pro,0,15
EVT-000212,CUST-00107,2023-02-09,signup,,Free,0,0
EVT-000220,CUST-00111,2023-02-09,signup,,Free,0,0
EVT-000232,CUST-00117,2023-02-09,signup,,Pro,0,15
EVT-000258,CUST-00129,2023-02-09,signup,,Business,0,49
EVT-000247,CUST-00124,2023-02-10,signup,,Business,0,49
EVT-000108,CUST-00058,2023-02-11,signup,,Free,0,0
EVT-000259,CUST-00130,2023-02-11,signup,,Pro,0,15
EVT-000234,CUST-00118,2023-02-12,signup,,Pro,0,15
EVT-000094,CUST-00050,2023-02-13,cancel,Free,Cancelled,0,0
EVT-000207,CUST-00105,2023-02-13,signup,,Free,0,0
EVT-000272,CUST-00136,2023-02-13,signup,,Pro,0,15
EVT-000134,CUST-00072,2023-02-14,signup,,Pro,0,15
EVT-000216,CUST-00109,2023-02-14,signup,,Business,0,49
EVT-000237,CUST-00119,2023-02-14,signup,,Pro,0,15
EVT-000243,CUST-00122,2023-02-14,signup,,Free,0,0
EVT-000278,CUST-00139,2023-02-14,signup,,Free,0,0
EVT-000132,CUST-00071,2023-02-15,signup,,Pro,0,15
EVT-000130,CUST-00070,2023-02-16,signup,,Pro,0,15
EVT-000209,CUST-00106,2023-02-16,signup,,Pro,0,15
EVT-000265,CUST-00133,2023-02-16,signup,,Pro,0,15
EVT-000050,CUST-00027,2023-02-17,cancel,Business,Cancelled,49,0
EVT-000123,CUST-00067,2023-02-17,signup,,Business,0,49
EVT-000184,CUST-00094,2023-02-17,signup,,Free,0,0
EVT-000254,CUST-00127,2023-02-17,signup,,Pro,0,15
EVT-000113,CUST-00061,2023-02-18,signup,,Free,0,0
EVT-000115,CUST-00062,2023-02-18,signup,,Pro,0,15
EVT-000138,CUST-00074,2023-02-18,signup,,Free,0,0
EVT-000195,CUST-00099,2023-02-18,signup,,Pro,0,15
EVT-000214,CUST-00108,2023-02-18,signup,,Pro,0,15
EVT-000222,CUST-00112,2023-02-18,signup,,Free,0,0
EVT-000143,CUST-00075,2023-02-19,signup,,Free,0,0
EVT-000230,CUST-00116,2023-02-19,signup,,Pro,0,15
EVT-000282,CUST-00141,2023-02-19,signup,,Pro,0,15
EVT-000119,CUST-00065,2023-02-20,signup,,Pro,0,15
EVT-000151,CUST-00079,2023-02-20,signup,,Free,0,0
EVT-000198,CUST-00100,2023-02-20,signup,,Pro,0,15
EVT-000199,CUST-00101,2023-02-20,signup,,Free,0,0
EVT-000145,CUST-00076,2023-02-21,signup,,Free,0,0
EVT-000248,CUST-00125,2023-02-21,signup,,Free,0,0
EVT-000072,CUST-00039,2023-02-22,cancel,Free,Cancelled,0,0
EVT-000089,CUST-00048,2023-02-22,upgrade,Pro,Business,15,49
EVT-000153,CUST-00080,2023-02-22,signup,,Pro,0,15
EVT-000241,CUST-00121,2023-02-22,signup,,Pro,0,15
EVT-000186,CUST-00095,2023-02-23,signup,,Pro,0,15
EVT-000190,CUST-00097,2023-02-23,signup,,Pro,0,15
EVT-000244,CUST-00123,2023-02-23,signup,,Free,0,0
EVT-000280,CUST-00140,2023-02-23,signup,,Free,0,0
EVT-000203,CUST-00103,2023-02-24,signup,,Pro,0,15
EVT-000250,CUST-00126,2023-02-24,signup,,Free,0,0
EVT-000239,CUST-00120,2023-02-25,signup,,Pro,0,15
EVT-000274,CUST-00137,2023-02-25,signup,,Free,0,0
EVT-000110,CUST-00059,2023-02-26,signup,,Pro,0,15
EVT-000126,CUST-00068,2023-02-26,signup,,Pro,0,15
EVT-000148,CUST-00078,2023-02-26,signup,,Free,0,0
EVT-000188,CUST-00096,2023-02-26,signup,,Free,0,0
EVT-000256,CUST-00128,2023-02-26,signup,,Free,0,0
EVT-000156,CUST-00081,2023-02-27,signup,,Pro,0,15
EVT-000174,CUST-00089,2023-02-27,signup,,Pro,0,15
EVT-000103,CUST-00055,2023-03-01,cancel,Free,Cancelled,0,0
EVT-000291,CUST-00145,2023-03-01,signup,,Free,0,0
EVT-000366,CUST-00183,2023-03-01,signup,,Free,0,0
EVT-000375,CUST-00188,2023-03-01,signup,,Enterprise,0,199
EVT-000411,CUST-00208,2023-03-01,signup,,Free,0,0
EVT-000319,CUST-00160,2023-03-02,signup,,Free,0,0
EVT-000381,CUST-00191,2023-03-02,signup,,Pro,0,15
EVT-000444,CUST-00223,2023-03-02,signup,,Business,0,49
EVT-000048,CUST-00026,2023-03-03,cancel,Free,Cancelled,0,0
EVT-000316,CUST-00159,2023-03-03,signup,,Free,0,0
EVT-000364,CUST-00182,2023-03-03,signup,,Free,0,0
EVT-000396,CUST-00199,2023-03-03,signup,,Enterprise,0,199
EVT-000410,CUST-00207,2023-03-03,signup,,Pro,0,15
EVT-000439,CUST-00220,2023-03-03,signup,,Pro,0,15
EVT-000345,CUST-00172,2023-03-04,signup,,Free,0,0
EVT-000373,CUST-00186,2023-03-04,signup,,Pro,0,15
EVT-000376,CUST-00189,2023-03-04,signup,,Business,0,49
EVT-000458,CUST-00230,2023-03-04,signup,,Free,0,0
EVT-000135,CUST-00072,2023-03-05,cancel,Pro,Cancelled,15,0
EVT-000311,CUST-00156,2023-03-05,signup,,Pro,0,15
EVT-000399,CUST-00201,2023-03-05,signup,,Free,0,0
EVT-000478,CUST-00240,2023-03-05,signup,,Pro,0,15
EVT-000111,CUST-00059,2023-03-06,cancel,Pro,Cancelled,15,0
EVT-000129,CUST-00069,2023-03-06,cancel,Free,Cancelled,0,0
EVT-000325,CUST-00163,2023-03-06,signup,,Free,0,0
EVT-000347,CUST-00173,2023-03-06,signup,,Enterprise,0,199
EVT-000362,CUST-00181,2023-03-06,signup,,Pro,0,15
EVT-000429,CUST-00217,2023-03-06,signup,,Free,0,0
EVT-000484,CUST-00244,2023-03-06,signup,,Free,0,0
EVT-000302,CUST-00151,2023-03-07,signup,,Pro,0,15
EVT-000387,CUST-00194,2023-03-07,signup,,Free,0,0
EVT-000426,CUST-00215,2023-03-07,signup,,Pro,0,15
EVT-000450,CUST-00226,2023-03-07,signup,,Pro,0,15
EVT-000467,CUST-00235,2023-03-07,signup,,Pro,0,15
EVT-000479,CUST-00241,2023-03-07,signup,,Pro,0,15
EVT-000014,CUST-00007,2023-03-08,cancel,Free,Cancelled,0,0
EVT-000152,CUST-00079,2023-03-08,cancel,Free,Cancelled,0,0
EVT-000433,CUST-00218,2023-03-08,signup,,Pro,0,15
EVT-000460,CUST-00231,2023-03-08,signup,,Pro,0,15
EVT-000321,CUST-00161,2023-03-09,signup,,Pro,0,15
EVT-000335,CUST-00168,2023-03-09,signup,,Pro,0,15
EVT-000360,CUST-00180,2023-03-09,signup,,Free,0,0
EVT-000415,CUST-00210,2023-03-09,signup,,Pro,0,15
EVT-000229,CUST-00115,2023-03-10,cancel,Free,Cancelled,0,0
EVT-000233,CUST-00117,2023-03-10,cancel,Pro,Cancelled,15,0
EVT-000289,CUST-00144,2023-03-10,signup,,Free,0,0
EVT-000293,CUST-00146,2023-03-10,signup,,Free,0,0
EVT-000464,CUST-00234,2023-03-10,signup,,Pro,0,15
EVT-000012,CUST-00006,2023-03-11,cancel,Free,Cancelled,0,0
EVT-000323,CUST-00162,2023-03-11,signup,,Free,0,0
EVT-000389,CUST-00195,2023-03-11,signup,,Pro,0,15
EVT-000421,CUST-00213,2023-03-11,signup,,Free,0,0
EVT-000454,CUST-00228,2023-03-11,signup,,Pro,0,15
EVT-000213,CUST-00107,2023-03-12,cancel,Free,Cancelled,0,0
EVT-000314,CUST-00158,2023-03-12,signup,,Business,0,49
EVT-000327,CUST-00164,2023-03-12,signup,,Free,0,0
EVT-000393,CUST-00197,2023-03-12,signup,,Enterprise,0,199
EVT-000417,CUST-00211,2023-03-12,signup,,Pro,0,15
EVT-000461,CUST-00232,2023-03-12,signup,,Pro,0,15
EVT-000472,CUST-00238,2023-03-12,signup,,Pro,0,15
EVT-000308,CUST-00154,2023-03-13,signup,,Pro,0,15
EVT-000419,CUST-00212,2023-03-13,signup,,Pro,0,15
EVT-000482,CUST-00243,2023-03-13,signup,,Free,0,0
EVT-000331,CUST-00166,2023-03-14,signup,,Free,0,0
EVT-000374,CUST-00187,2023-03-14,signup,,Enterprise,0,199
EVT-000405,CUST-00204,2023-03-14,signup,,Pro,0,15
EVT-000470,CUST-00237,2023-03-14,signup,,Pro,0,15
EVT-000378,CUST-00190,2023-03-15,signup,,Business,0,49
EVT-000446,CUST-00224,2023-03-15,signup,,Free,0,0
EVT-000300,CUST-00150,2023-03-16,signup,,Free,0,0
EVT-000351,CUST-00175,2023-03-16,signup,,Free,0,0
EVT-000391,CUST-00196,2023-03-16,signup,,Pro,0,15
EVT-000452,CUST-00227,2023-03-16,signup,,Free,0,0
EVT-000348,CUST-00174,2023-03-17,signup,,Free,0,0
EVT-000385,CUST-00193,2023-03-17,signup,,Pro,0,15
EVT-000448,CUST-00225,2023-03-17,signup,,Free,0,0
EVT-000313,CUST-00157,2023-03-18,signup,,Pro,0,15
EVT-000383,CUST-00192,2023-03-18,signup,,Pro,0,15
EVT-000157,CUST-00081,2023-03-19,cancel,Pro,Cancelled,15,0
EVT-000284,CUST-00142,2023-03-19,signup,,Pro,0,15
EVT-000338,CUST-00169,2023-03-19,signup,,Free,0,0
EVT-000397,CUST-00200,2023-03-19,signup,,Pro,0,15
EVT-000424,CUST-00214,2023-03-19,signup,,Free,0,0
EVT-000343,CUST-00171,2023-03-20,signup,,Free,0,0
EVT-000369,CUST-00184,2023-03-20,signup,,Free,0,0
EVT-000403,CUST-00203,2023-03-20,signup,,Free,0,0
EVT-000413,CUST-00209,2023-03-20,signup,,Business,0,49
EVT-000462,CUST-00233,2023-03-20,signup,,Free,0,0
EVT-000204,CUST-00103,2023-03-21,cancel,Pro,Cancelled,15,0
EVT-000257,CUST-00128,2023-03-21,cancel,Free,Cancelled,0,0
EVT-000295,CUST-00147,2023-03-21,signup,,Free,0,0
EVT-000355,CUST-00177,2023-03-21,signup,,Pro,0,15
EVT-000440,CUST-00221,2023-03-21,signup,,Free,0,0
EVT-000455,CUST-00229,2023-03-21,signup,,Free,0,0
EVT-000486,CUST-00245,2023-03-21,signup,,Business,0,49
EVT-000068,CUST-00037,2023-03-22,cancel,Pro,Cancelled,15,0
EVT-000208,CUST-00105,2023-03-22,cancel,Free,Cancelled,0,0
EVT-000306,CUST-00153,2023-03-22,signup,,Free,0,0
EVT-000310,CUST-00155,2023-03-22,signup,,Business,0,49
EVT-000333,CUST-00167,2023-03-22,signup,,Free,0,0
EVT-000394,CUST-00198,2023-03-22,signup,,Free,0,0
EVT-000407,CUST-00205,2023-03-22,signup,,Pro,0,15
EVT-000235,CUST-00118,2023-03-23,upgrade,Pro,Business,15,49
EVT-000304,CUST-00152,2023-03-24,signup,,Free,0,0
EVT-000329,CUST-00165,2023-03-24,signup,,Free,0,0
EVT-000353,CUST-00176,2023-03-24,signup,,Business,0,49
EVT-000427,CUST-00216,2023-03-24,signup,,Free,0,0
EVT-000468,CUST-00236,2023-03-24,signup,,Free,0,0
EVT-000052,CUST-00028,2023-03-25,cancel,Free,Cancelled,0,0
EVT-000287,CUST-00143,2023-03-25,signup,,Pro,0,15
EVT-000297,CUST-00148,2023-03-25,signup,,Pro,0,15
EVT-000298,CUST-00149,2023-03-25,signup,,Free,0,0
EVT-000357,CUST-00178,2023-03-25,signup,,Business,0,49
EVT-000371,CUST-00185,2023-03-25,signup,,Pro,0,15
EVT-000401,CUST-00202,2023-03-25,signup,,Free,0,0
EVT-000409,CUST-00206,2023-03-25,signup,,Pro,0,15
EVT-000481,CUST-00242,2023-03-25,signup,,Pro,0,15
EVT-000022,CUST-00012,2023-03-26,cancel,Pro,Cancelled,15,0
EVT-000076,CUST-00041,2023-03-26,cancel,Pro,Cancelled,15,0
EVT-000269,CUST-00134,2023-03-26,cancel,Pro,Cancelled,15,0
EVT-000341,CUST-00170,2023-03-26,signup,,Free,0,0
EVT-000435,CUST-00219,2023-03-26,signup,,Free,0,0
EVT-000476,CUST-00239,2023-03-26,signup,,Free,0,0
EVT-000251,CUST-00126,2023-03-27,upgrade,Free,Pro,0,15
EVT-000359,CUST-00179,2023-03-27,signup,,Enterprise,0,199
EVT-000442,CUST-00222,2023-03-27,signup,,Pro,0,15
EVT-000496,CUST-00250,2023-04-01,signup,,Pro,0,15
EVT-000530,CUST-00269,2023-04-01,signup,,Free,0,0
EVT-000532,CUST-00270,2023-04-01,signup,,Pro,0,15
EVT-000567,CUST-00290,2023-04-01,signup,,Pro,0,15
EVT-000626,CUST-00321,2023-04-01,signup,,Business,0,49
EVT-000633,CUST-00324,2023-04-01,signup,,Pro,0,15
EVT-000655,CUST-00335,2023-04-01,signup,,Free,0,0
EVT-000189,CUST-00096,2023-04-02,cancel,Free,Cancelled,0,0
EVT-000312,CUST-00156,2023-04-02,cancel,Pro,Cancelled,15,0
EVT-000505,CUST-00255,2023-04-02,signup,,Business,0,49
EVT-000558,CUST-00285,2023-04-02,signup,,Pro,0,15
EVT-000573,CUST-00293,2023-04-02,signup,,Pro,0,15
EVT-000676,CUST-00345,2023-04-02,signup,,Business,0,49
EVT-000537,CUST-00273,2023-04-03,signup,,Free,0,0
EVT-000578,CUST-00295,2023-04-03,signup,,Pro,0,15
EVT-000588,CUST-00300,2023-04-03,signup,,Pro,0,15
EVT-000603,CUST-00309,2023-04-03,signup,,Free,0,0
EVT-000645,CUST-00330,2023-04-03,signup,,Pro,0,15
EVT-000666,CUST-00340,2023-04-03,signup,,Free,0,0
EVT-000124,CUST-00067,2023-04-04,downgrade,Business,Pro,49,15
EVT-000436,CUST-00219,2023-04-04,upgrade,Free,Pro,0,15
EVT-000500,CUST-00252,2023-04-04,signup,,Free,0,0
EVT-000509,CUST-00257,2023-04-04,signup,,Pro,0,15
EVT-000544,CUST-00277,2023-04-04,signup,,Free,0,0
EVT-000601,CUST-00308,2023-04-04,signup,,Free,0,0
EVT-000651,CUST-00333,2023-04-04,signup,,Free,0,0
EVT-000664,CUST-00339,2023-04-04,signup,,Free,0,0
EVT-000002,CUST-00001,2023-04-05,upgrade,Free,Pro,0,15
EVT-000477,CUST-00239,2023-04-05,cancel,Free,Cancelled,0,0
EVT-000533,CUST-00271,2023-04-05,signup,,Pro,0,15
EVT-000546,CUST-00278,2023-04-05,signup,,Free,0,0
EVT-000580,CUST-00296,2023-04-05,signup,,Free,0,0
EVT-000144,CUST-00075,2023-04-06,cancel,Free,Cancelled,0,0
EVT-000296,CUST-00147,2023-04-06,cancel,Free,Cancelled,0,0
EVT-000502,CUST-00253,2023-04-06,signup,,Pro,0,15
EVT-000542,CUST-00276,2023-04-06,signup,,Free,0,0
EVT-000553,CUST-00282,2023-04-06,signup,,Pro,0,15
EVT-000575,CUST-00294,2023-04-06,signup,,Free,0,0
EVT-000586,CUST-00299,2023-04-06,signup,,Free,0,0
EVT-000483,CUST-00243,2023-04-07,cancel,Free,Cancelled,0,0
EVT-000539,CUST-00274,2023-04-07,signup,,Free,0,0
EVT-000200,CUST-00101,2023-04-08,cancel,Free,Cancelled,0,0
EVT-000412,CUST-00208,2023-04-08,cancel,Free,Cancelled,0,0
EVT-000422,CUST-00213,2023-04-08,upgrade,Free,Pro,0,15
EVT-000507,CUST-00256,2023-04-08,signup,,Free,0,0
EVT-000560,CUST-00286,2023-04-08,signup,,Pro,0,15
EVT-000563,CUST-00288,2023-04-08,signup,,Pro,0,15
EVT-000638,CUST-00326,2023-04-08,signup,,Free,0,0
EVT-000653,CUST-00334,2023-04-08,signup,,Pro,0,15
EVT-000344,CUST-00171,2023-04-09,cancel,Free,Cancelled,0,0
EVT-000522,CUST-00265,2023-04-09,signup,,Pro,0,15
EVT-000582,CUST-00297,2023-04-09,signup,,Free,0,0
EVT-000595,CUST-00304,2023-04-09,signup,,Free,0,0
EVT-000196,CUST-00099,2023-04-10,upgrade,Pro,Business,15,49
EVT-000283,CUST-00141,2023-04-10,cancel,Pro,Cancelled,15,0
EVT-000346,CUST-00172,2023-04-10,cancel,Free,Cancelled,0,0
EVT-000583,CUST-00298,2023-04-10,signup,,Free,0,0
EVT-000605,CUST-00310,2023-04-10,signup,,Pro,0,15
EVT-000185,CUST-00094,2023-04-11,cancel,Free,Cancelled,0,0
EVT-000600,CUST-00307,2023-04-11,signup,,Pro,0,15
EVT-000609,CUST-00312,2023-04-11,signup,,Business,0,49
EVT-000615,CUST-00315,2023-04-11,signup,,Free,0,0
EVT-000624,CUST-00320,2023-04-11,signup,,Free,0,0
EVT-000660,CUST-00337,2023-04-11,signup,,Free,0,0
EVT-000299,CUST-00149,2023-04-12,cancel,Free,Cancelled,0,0
EVT-000511,CUST-00258,2023-04-12,signup,,Business,0,49
EVT-000650,CUST-00332,2023-04-12,signup,,Business,0,49
EVT-000672,CUST-00343,2023-04-12,signup,,Pro,0,15
EVT-000064,CUST-00035,2023-04-13,upgrade,Free,Pro,0,15
EVT-000294,CUST-00146,2023-04-13,cancel,Free,Cancelled,0,0
EVT-000443,CUST-00222,2023-04-13,cancel,Pro,Cancelled,15,0
EVT-000459,CUST-00230,2023-04-13,cancel,Free,Cancelled,0,0
EVT-000488,CUST-00246,2023-04-13,signup,,Pro,0,15
EVT-000517,CUST-00262,2023-04-13,signup,,Business,0,49
EVT-000549,CUST-00280,2023-04-13,signup,,Free,0,0
EVT-000571,CUST-00292,2023-04-13,signup,,Free,0,0
EVT-000662,CUST-00338,2023-04-13,signup,,Pro,0,15
EVT-000242,CUST-00121,2023-04-14,cancel,Pro,Cancelled,15,0
EVT-000354,CUST-00176,2023-04-14,cancel,Business,Cancelled,49,0
EVT-000523,CUST-00266,2023-04-14,signup,,Pro,0,15
EVT-000597,CUST-00306,2023-04-14,signup,,Free,0,0
EVT-000640,CUST-00327,2023-04-14,signup,,Business,0,49
EVT-000404,CUST-00203,2023-04-15,cancel,Free,Cancelled,0,0
EVT-000527,CUST-00268,2023-04-15,signup,,Free,0,0
EVT-000613,CUST-00314,2023-04-15,signup,,Pro,0,15
EVT-000674,CUST-00344,2023-04-15,signup,,Free,0,0
EVT-000147,CUST-00077,2023-04-16,cancel,Free,Cancelled,0,0
EVT-000178,CUST-00091,2023-04-16,upgrade,Pro,Business,15,49
EVT-000223,CUST-00112,2023-04-16,upgrade,Free,Pro,0,15
EVT-000492,CUST-00248,2023-04-16,signup,,Free,0,0
EVT-000565,CUST-00289,2023-04-16,signup,,Free,0,0
EVT-000612,CUST-00313,2023-04-16,signup,,Free,0,0
EVT-000620,CUST-00317,2023-04-16,signup,,Pro,0,15
EVT-000628,CUST-00322,2023-04-16,signup,,Pro,0,15
EVT-000648,CUST-00331,2023-04-16,signup,,Pro,0,15
EVT-000026,CUST-00014,2023-04-17,upgrade,Free,Pro,0,15
EVT-000390,CUST-00195,2023-04-17,cancel,Pro,Cancelled,15,0
EVT-000465,CUST-00234,2023-04-17,upgrade,Pro,Business,15,49
EVT-000503,CUST-00254,2023-04-17,signup,,Free,0,0
EVT-000590,CUST-00301,2023-04-17,signup,,Free,0,0
EVT-000643,CUST-00329,2023-04-17,signup,,Business,0,49
EVT-000137,CUST-00073,2023-04-18,cancel,Pro,Cancelled,15,0
EVT-000490,CUST-00247,2023-04-18,signup,,Free,0,0
EVT-000569,CUST-00291,2023-04-18,signup,,Free,0,0
EVT-000607,CUST-00311,2023-04-18,signup,,Free,0,0
EVT-000670,CUST-00342,2023-04-18,signup,,Business,0,49
EVT-000131,CUST-00070,2023-04-19,cancel,Pro,Cancelled,15,0
EVT-000512,CUST-00259,2023-04-19,signup,,Pro,0,15
EVT-000518,CUST-00263,2023-04-19,signup,,Free,0,0
EVT-000623,CUST-00319,2023-04-19,signup,,Business,0,49
EVT-000658,CUST-00336,2023-04-19,signup,,Pro,0,15
EVT-000516,CUST-00261,2023-04-20,signup,,Pro,0,15
EVT-000555,CUST-00283,2023-04-20,signup,,Pro,0,15
EVT-000618,CUST-00316,2023-04-20,signup,,Free,0,0
EVT-000541,CUST-00275,2023-04-21,signup,,Enterprise,0,199
EVT-000592,CUST-00302,2023-04-21,signup,,Free,0,0
EVT-000596,CUST-00305,2023-04-22,signup,,Business,0,49
EVT-000668,CUST-00341,2023-04-22,signup,,Business,0,49
EVT-000279,CUST-00139,2023-04-23,cancel,Free,Cancelled,0,0
EVT-000352,CUST-00175,2023-04-23,cancel,Free,Cancelled,0,0
EVT-000485,CUST-00244,2023-04-23,cancel,Free,Cancelled,0,0
EVT-000494,CUST-00249,2023-04-23,signup,,Free,0,0
EVT-000498,CUST-00251,2023-04-23,signup,,Free,0,0
EVT-000520,CUST-00264,2023-04-23,signup,,Free,0,0
EVT-000535,CUST-00272,2023-04-23,signup,,Free,0,0
EVT-000557,CUST-00284,2023-04-23,signup,,Enterprise,0,199
EVT-000561,CUST-00287,2023-04-23,signup,,Free,0,0
EVT-000621,CUST-00318,2023-04-23,signup,,Pro,0,15
EVT-000678,CUST-00347,2023-04-23,signup,,Free,0,0
EVT-000149,CUST-00078,2023-04-24,upgrade,Free,Pro,0,15
EVT-000441,CUST-00221,2023-04-24,upgrade,Free,Pro,0,15
EVT-000525,CUST-00267,2023-04-24,signup,,Pro,0,15
EVT-000631,CUST-00323,2023-04-24,signup,,Free,0,0
EVT-000635,CUST-00325,2023-04-24,signup,,Pro,0,15
EVT-000677,CUST-00346,2023-04-25,signup,,Enterprise,0,199
EVT-000451,CUST-00226,2023-04-26,cancel,Pro,Cancelled,15,0
EVT-000408,CUST-00205,2023-04-27,cancel,Pro,Cancelled,15,0
EVT-000447,CUST-00224,2023-04-27,cancel,Free,Cancelled,0,0
EVT-000515,CUST-00260,2023-04-27,signup,,Enterprise,0,199
EVT-000548,CUST-00279,2023-04-27,signup,,Pro,0,15
EVT-000551,CUST-00281,2023-04-27,signup,,Free,0,0
