customer_id,signup_date,acquisition_channel,region,company_size,initial_plan
CUST-00067,2023-02-17,Organic Search,Asia Pacific,107,Business
CUST-00068,2023-02-26,Content Marketing,Asia Pacific,46,Pro
CUST-00069,2023-02-03,Content Marketing,Europe,1,Free
CUST-00070,2023-02-16,Organic Search,North America,8,Pro
CUST-00071,2023-02-15,Paid Ads,Europe,34,Pro
CUST-00072,2023-02-14,Paid Ads,Asia Pacific,26,Pro
CUST-00073,2023-02-04,Content Marketing,Latin America,42,Pro
CUST-00074,2023-02-18,Paid Ads,North America,10,Free
CUST-00075,2023-02-19,Paid Ads,Asia Pacific,4,Free
CUST-00076,2023-02-21,Paid Ads,Asia Pacific,16,Free
CUST-00077,2023-02-09,Paid Ads,North America,11,Free
CUST-00078,2023-02-26,Referral,North America,2,Free
CUST-00079,2023-02-20,Content Marketing,North America,3,Free
CUST-00080,2023-02-22,Paid Ads,Latin America,19,Pro
CUST-00081,2023-02-27,Organic Search,North America,33,Pro
CUST-00082,2023-02-04,Organic Search,Latin America,22,Pro
CUST-00083,2023-02-04,Referral,Europe,39,Business
CUST-00084,2023-02-01,Content Marketing,Europe,28,Pro
CUST-00085,2023-02-08,Organic Search,Asia Pacific,22,Pro
CUST-00086,2023-02-09,Organic Search,Europe,2,Pro
CUST-00087,2023-02-03,Paid Ads,Asia Pacific,28,Pro
CUST-00088,2023-02-08,Organic Search,Asia Pacific,174,Business
CUST-00089,2023-02-27,Content Marketing,North America,33,Pro
CUST-00090,2023-02-03,Organic Search,Europe,31,Pro
CUST-00091,2023-02-07,Organic Search,North America,13,Pro
CUST-00092,2023-02-06,Content Marketing,Asia Pacific,16,Free
CUST-00093,2023-02-01,Organic Search,Europe,228,Business
CUST-00094,2023-02-17,Organic Search,North America,16,Free
CUST-00095,2023-02-23,Organic Search,North America,15,Pro
CUST-00096,2023-02-26,Organic Search,Asia Pacific,19,Free
CUST-00097,2023-02-23,Organic Search,Europe,41,Pro
CUST-00098,2023-02-04,Organic Search,North America,3,Free
CUST-00099,2023-02-18,Organic Search,Asia Pacific,28,Pro
CUST-00100,2023-02-20,Organic Search,North America,41,Pro
CUST-00101,2023-02-20,Paid Ads,North America,2,Free
CUST-00102,2023-02-02,Referral,Europe,132,Business
CUST-00103,2023-02-24,Paid Ads,North America,12,Pro
CUST-00104,2023-02-03,Organic Search,North America,19,Pro
CUST-00105,2023-02-13,Paid Ads,Latin America,12,Free
CUST-00106,2023-02-16,Content Marketing,Europe,43,Pro
CUST-00107,2023-02-09,Content Marketing,Latin America,11,Free
CUST-00108,2023-02-18,Organic Search,Europe,14,Pro
CUST-00109,2023-02-14,Organic Search,North America,120,Business
CUST-00110,2023-02-04,Organic Search,Europe,3,Free
CUST-00111,2023-02-09,Organic Search,North America,2,Free
CUST-00112,2023-02-18,Paid Ads,Europe,8,Free
CUST-00113,2023-02-06,Paid Ads,North America,16,Free
CUST-00114,2023-02-01,Organic Search,North America,46,Pro
CUST-00115,2023-02-07,Paid Ads,Europe,3,Free
CUST-00116,2023-02-19,Paid Ads,Europe,30,Pro
CUST-00117,2023-02-09,Organic Search,Europe,31,Pro
CUST-00118,2023-02-12,Content Marketing,Europe,11,Pro
CUST-00119,2023-02-14,Organic Search,North America,48,Pro
CUST-00120,2023-02-25,Content Marketing,Asia Pacific,8,Pro
CUST-00121,2023-02-22,Organic Search,Europe,14,Pro
CUST-00122,2023-02-14,Content Marketing,Asia Pacific,8,Free
CUST-00123,2023-02-23,Content Marketing,North America,17,Free
CUST-00124,2023-02-10,Outbound Sales,North America,145,Business
CUST-00125,2023-02-21,Content Marketing,North America,2,Free
CUST-00126,2023-02-24,Content Marketing,Asia Pacific,14,Free
CUST-00127,2023-02-17,Referral,North America,13,Pro
CUST-00128,2023-02-26,Content Marketing,North America,10,Free
CUST-00129,2023-02-09,Organic Search,Asia Pacific,111,Business
CUST-00130,2023-02-11,Paid Ads,Europe,38,Pro
CUST-00131,2023-02-06,Paid Ads,North America,34,Pro
CUST-00132,2023-02-05,Content Marketing,North America,36,Pro
CUST-00133,2023-02-16,Paid Ads,Latin America,47,Pro
CUST-00134,2023-02-04,Paid Ads,Latin America,33,Pro
CUST-00135,2023-02-03,Referral,North America,17,Pro
CUST-00136,2023-02-13,Organic Search,Europe,25,Pro
CUST-00137,2023-02-25,Organic Search,North America,5,Free
CUST-00138,2023-02-08,Paid Ads,North America,4,Free
CUST-00139,2023-02-14,Paid Ads,Europe,14,Free
CUST-00140,2023-02-23,Organic Search,North America,16,Free
CUST-00141,2023-02-19,Paid Ads,Europe,21,Pro
CUST-00142,2023-03-19,Organic Search,Latin America,43,Pro
CUST-00143,2023-03-25,Paid Ads,North America,25,Pro
CUST-00144,2023-03-10,Paid Ads,North America,2,Free
CUST-00145,2023-03-01,Organic Search,North America,11,Free
CUST-00146,2023-03-10,Content Marketing,Europe,17,Free
CUST-00147,2023-03-21,Paid Ads,Latin America,19,Free
CUST-00148,2023-03-25,Referral,North America,18,Pro
CUST-00149,2023-03-25,Content Marketing,North America,17,Free
CUST-00150,2023-03-16,Paid Ads,Asia Pacific,5,Free
CUST-00151,2023-03-07,Content Marketing,North America,43,Pro
CUST-00152,2023-03-24,Paid Ads,North America,7,Free
CUST-00153,2023-03-22,Content Marketing,Europe,5,Free
CUST-00154,2023-03-13,Paid Ads,Europe,43,Pro
CUST-00155,2023-03-22,Paid Ads,Europe,71,Business
CUST-00156,2023-03-05,Paid Ads,Asia Pacific,24,Pro
CUST-00157,2023-03-18,Organic Search,North America,22,Pro
CUST-00158,2023-03-12,Paid Ads,Europe,234,Business
CUST-00159,2023-03-03,Content Marketing,Latin America,15,Free
CUST-00160,2023-03-02,Referral,North America,11,Free
CUST-00161,2023-03-09,Organic Search,Europe,39,Pro
CUST-00162,2023-03-11,Organic Search,North America,13,Free
CUST-00163,2023-03-06,Organic Search,Europe,9,Free
CUST-00164,2023-03-12,Organic Search,North America,5,Free
CUST-00165,2023-03-24,Content Marketing,North America,8,Free
CUST-00166,2023-03-14,Paid Ads,Europe,6,Free
CUST-00167,2023-03-22,Organic Search,Europe,11,Free
CUST-00168,2023-03-09,Paid Ads,North America,12,Pro
CUST-00169,2023-03-19,Organic Search,Europe,17,Free
CUST-00170,2023-03-26,Organic Search,North America,5,Free
CUST-00171,2023-03-20,Referral,Europe,17,Free
CUST-00172,2023-03-04,Referral,North America,7,Free
CUST-00173,2023-03-06,Outbound Sales,North America,4677,Enterprise
CUST-00174,2023-03-17,Referral,North America,14,Free
CUST-00175,2023-03-16,Paid Ads,Europe,5,Free
CUST-00176,2023-03-24,Referral,North America,77,Business
CUST-00177,2023-03-21,Content Marketing,North America,45,Pro
CUST-00178,2023-03-25,Referral,North America,69,Business
CUST-00179,2023-03-27,Outbound Sales,Europe,4565,Enterprise
CUST-00180,2023-03-09,Content Marketing,Asia Pacific,3,Free
CUST-00181,2023-03-06,Content Marketing,Europe,16,Pro
CUST-00182,2023-03-03,Organic Search,North America,16,Free
CUST-00183,2023-03-01,Referral,North America,8,Free
CUST-00184,2023-03-20,Paid Ads,Asia Pacific,17,Free
CUST-00185,2023-03-25,Paid Ads,North America,7,Pro
CUST-00186,2023-03-04,Referral,North America,39,Pro
CUST-00187,2023-03-14,Outbound Sales,North America,4012,Enterprise
CUST-00188,2023-03-01,Outbound Sales,North America,4635,Enterprise
CUST-00189,2023-03-04,Organic Search,Europe,103,Business
CUST-00190,2023-03-15,Referral,Asia Pacific,109,Business
CUST-00191,2023-03-02,Referral,North America,36,Pro
CUST-00192,2023-03-18,Paid Ads,North America,18,Pro
CUST-00193,2023-03-17,Organic Search,North America,4,Pro
CUST-00194,2023-03-07,Organic Search,Asia Pacific,16,Free
CUST-00195,2023-03-11,Content Marketing,Europe,27,Pro
CUST-00196,2023-03-16,Paid Ads,Asia Pacific,38,Pro
CUST-00197,2023-03-12,Outbound Sales,Latin America,918,Enterprise
CUST-00198,2023-03-22,Paid Ads,North America,1,Free
CUST-00199,2023-03-03,Outbound Sales,North America,4709,Enterprise
CUST-00200,2023-03-19,Paid Ads,North America,9,Pro
CUST-00201,2023-03-05,Content Marketing,Latin America,6,Free
CUST-00202,2023-03-25,Organic Search,Asia Pacific,19,Free
CUST-00203,2023-03-20,Paid Ads,Europe,17,Free
CUST-00204,2023-03-14,Content Marketing,North America,21,Pro
CUST-00205,2023-03-22,Content Marketing,Asia Pacific,27,Pro
CUST-00206,2023-03-25,Content Marketing,North America,39,Pro
CUST-00207,2023-03-03,Organic Search,Asia Pacific,26,Pro
CUST-00208,2023-03-01,Paid Ads,Asia Pacific,9,Free
CUST-00209,2023-03-20,Organic Search,North America,203,Business
CUST-00210,2023-03-09,Organic Search,North America,32,Pro
CUST-00211,2023-03-12,Referral,Europe,20,Pro
CUST-00212,2023-03-13,Referral,Latin America,26,Pro
CUST-00213,2023-03-11,Content Marketing,North America,7,Free
CUST-00214,2023-03-19,Content Marketing,North America,6,Free
CUST-00215,2023-03-07,Referral,Latin America,36,Pro
CUST-00216,2023-03-24,Content Marketing,Asia Pacific,12,Free
CUST-00217,2023-03-06,Organic Search,North America,19,Free
CUST-00218,2023-03-08,Organic Search,Europe,23,Pro
CUST-00219,2023-03-26,Referral,Europe,2,Free
CUST-00220,2023-03-03,Content Marketing,Europe,44,Pro
CUST-00221,2023-03-21,Organic Search,North America,6,Free
CUST-00222,2023-03-27,Paid Ads,Asia Pacific,7,Pro
CUST-00223,2023-03-02,Referral,Latin America,151,Business
CUST-00224,2023-03-15,Organic Search,North America,5,Free
CUST-00225,2023-03-17,Paid Ads,Asia Pacific,15,Free
CUST-00226,2023-03-07,Content Marketing,North America,5,Pro
CUST-00227,2023-03-16,Referral,Asia Pacific,8,Free
CUST-00228,2023-03-11,Organic Search,North America,42,Pro
CUST-00229,2023-03-21,Content Marketing,Asia Pacific,1,Free
CUST-00230,2023-03-04,Paid Ads,Latin America,8,Free
CUST-00231,2023-03-08,Content Marketing,North America,20,Pro
CUST-00232,2023-03-12,Organic Search,North America,33,Pro
CUST-00233,2023-03-20,Paid Ads,North America,17,Free
CUST-00234,2023-03-10,Paid Ads,Asia Pacific,37,Pro
CUST-00235,2023-03-07,Organic Search,North America,17,Pro
CUST-00236,2023-03-24,Content Marketing,Latin America,2,Free
CUST-00237,2023-03-14,Organic Search,Europe,15,Pro
CUST-00238,2023-03-12,Organic Search,Europe,41,Pro
CUST-00239,2023-03-26,Paid Ads,North America,4,Free
CUST-00240,2023-03-05,Referral,Latin America,9,Pro
CUST-00241,2023-03-07,Content Marketing,North America,9,Pro
CUST-00242,2023-03-25,Outbound Sales,North America,9,Pro
CUST-00243,2023-03-13,Organic Search,Europe,2,Free
CUST-00244,2023-03-06,Paid Ads,Europe,13,Free
CUST-00245,2023-03-21,Organic Search,Asia Pacific,206,Business
CUST-00246,2023-04-13,Organic Search,Asia Pacific,7,Pro
CUST-00247,2023-04-18,Content Marketing,North America,12,Free
CUST-00248,2023-04-16,Paid Ads,North America,9,Free
CUST-00249,2023-04-23,Organic Search,North America,13,Free
CUST-00250,2023-04-01,Paid Ads,North America,19,Pro
CUST-00251,2023-04-23,Content Marketing,Asia Pacific,3,Free
CUST-00252,2023-04-04,Referral,Asia Pacific,12,Free
CUST-00253,2023-04-06,Referral,Latin America,15,Pro
CUST-00254,2023-04-17,Content Marketing,Europe,8,Free
CUST-00255,2023-04-02,Organic Search,Latin America,161,Business
CUST-00256,2023-04-08,Content Marketing,Asia Pacific,5,Free
CUST-00257,2023-04-04,Paid Ads,Europe,23,Pro
CUST-00258,2023-04-12,Referral,North America,47,Business
CUST-00259,2023-04-19,Organic Search,Europe,16,Pro
CUST-00260,2023-04-27,Outbound Sales,Latin America,314,Enterprise
CUST-00261,2023-04-20,Organic Search,North America,34,Pro
CUST-00262,2023-04-13,Organic Search,North America,81,Business
CUST-00263,2023-04-19,Paid Ads,North America,8,Free
CUST-00264,2023-04-23,Organic Search,Asia Pacific,13,Free
CUST-00265,2023-04-09,Organic Search,North America,20,Pro
CUST-00266,2023-04-14,Referral,Asia Pacific,10,Pro
CUST-00267,2023-04-24,Paid Ads,North America,29,Pro
CUST-00268,2023-04-15,Content Marketing,North America,6,Free
CUST-00269,2023-04-01,Organic Search,North America,5,Free
CUST-00270,2023-04-01,Referral,Asia Pacific,6,Pro
CUST-00271,2023-04-05,Paid Ads,Asia Pacific,18,Pro
CUST-00272,2023-04-23,Referral,Asia Pacific,6,Free
CUST-00273,2023-04-03,Paid Ads,Asia Pacific,1,Free
CUST-00274,2023-04-07,Paid Ads,Asia Pacific,12,Free
CUST-00275,2023-04-21,Outbound Sales,Europe,2786,Enterprise
CUST-00276,2023-04-06,Paid Ads,North America,8,Free
CUST-00277,2023-04-04,Organic Search,Asia Pacific,19,Free
CUST-00278,2023-04-05,Referral,North America,4,Free
CUST-00279,2023-04-27,Content Marketing,North America,35,Pro
CUST-00280,2023-04-13,Organic Search,Europe,4,Free
CUST-00281,2023-04-27,Paid Ads,Asia Pacific,19,Free
CUST-00282,2023-04-06,Content Marketing,North America,31,Pro
CUST-00283,2023-04-20,Referral,North America,14,Pro
CUST-00284,2023-04-23,Outbound Sales,Europe,2042,Enterprise
CUST-00285,2023-04-02,Paid Ads,North America,27,Pro
CUST-00286,2023-04-08,Referral,Europe,31,Pro
CUST-00287,2023-04-23,Organic Search,Asia Pacific,2,Free
CUST-00288,2023-04-08,Content Marketing,North America,38,Pro
CUST-00289,2023-04-16,Paid Ads,North America,9,Free
CUST-00290,2023-04-01,Referral,North America,19,Pro
CUST-00291,2023-04-18,Paid Ads,Asia Pacific,15,Free
CUST-00292,2023-04-13,Paid Ads,Asia Pacific,2,Free
CUST-00293,2023-04-02,Referral,Latin America,24,Pro
CUST-00294,2023-04-06,Paid Ads,Europe,9,Free
CUST-00295,2023-04-03,Content Marketing,North America,44,Pro
CUST-00296,2023-04-05,Paid Ads,Europe,10,Free
CUST-00297,2023-04-09,Referral,Asia Pacific,4,Free
CUST-00298,2023-04-10,Paid Ads,North America,10,Free
CUST-00299,2023-04-06,Paid Ads,Europe,8,Free
CUST-00300,2023-04-03,Paid Ads,Latin America,35,Pro
CUST-00301,2023-04-17,Organic Search,North America,9,Free
CUST-00302,2023-04-21,Organic Search,Asia Pacific,19,Free
CUST-00303,2023-04-27,Referral,Europe,44,Business
CUST-00304,2023-04-09,Referral,North America,2,Free
CUST-00305,2023-04-22,Referral,Europe,229,Business
CUST-00306,2023-04-14,Organic Search,Latin America,7,Free
CUST-00307,2023-04-11,Organic Search,Latin America,47,Pro
CUST-00308,2023-04-04,Organic Search,Europe,9,Free
CUST-00309,2023-04-03,Content Marketing,North America,19,Free
CUST-00310,2023-04-10,Content Marketing,Europe,29,Pro
CUST-00311,2023-04-18,Organic Search,Europe,16,Free
CUST-00312,2023-04-11,Referral,Latin America,185,Business
CUST-00313,2023-04-16,Organic Search,Europe,19,Free
CUST-00314,2023-04-15,Organic Search,Europe,18,Pro
CUST-00315,2023-04-11,Organic Search,North America,2,Free
CUST-00316,2023-04-20,Organic Search,North America,10,Free
CUST-00317,2023-04-16,Referral,North America,39,Pro
CUST-00318,2023-04-23,Content Marketing,North America,27,Pro
CUST-00319,2023-04-19,Organic Search,Europe,35,Business
CUST-00320,2023-04-11,Paid Ads,Latin America,17,Free
CUST-00321,2023-04-01,Referral,Europe,244,Business
CUST-00322,2023-04-16,Outbound Sales,Europe,45,Pro
CUST-00323,2023-04-24,Paid Ads,Asia Pacific,3,Free
CUST-00324,2023-04-01,Organic Search,Europe,23,Pro
CUST-00325,2023-04-24,Referral,North America,44,Pro
CUST-00326,2023-04-08,Organic Search,Europe,2,Free
CUST-00327,2023-04-14,Outbound Sales,Asia Pacific,45,Business
CUST-00328,2023-04-27,Paid Ads,Latin America,2,Free
CUST-00329,2023-04-17,Referral,North America,233,Business
CUST-00330,2023-04-03,Organic Search,North America,7,Pro
CUST-00331,2023-04-16,Paid Ads,Europe,13,Pro
CUST-00332,2023-04-12,Content Marketing,Europe,228,Business
CUST-00333,2023-04-04,Paid Ads,North America,3,Free
CUST-00334,2023-04-08,Paid Ads,Asia Pacific,5,Pro
CUST-00335,2023-04-01,Content Marketing,Asia Pacific,2,Free
CUST-00336,2023-04-19,Content Marketing,Europe,22,Pro
CUST-00337,2023-04-11,Organic Search,Europe,3,Free
CUST-00338,2023-04-13,Paid Ads,North America,29,Pro
CUST-00339,2023-04-04,Paid Ads,North America,9,Free
CUST-00340,2023-04-03,Referral,North America,4,Free
CUST-00341,2023-04-22,Organic Search,North America,63,Business
CUST-00342,2023-04-18,Organic Search,North America,149,Business
CUST-00343,2023-04-12,Content Marketing,Europe,19,Pro
CUST-00344,2023-04-15,Content Marketing,North America,4,Free
CUST-00345,2023-04-02,Content Marketing,Latin America,168,Business
CUST-00346,2023-04-25,Outbound Sales,North America,2706,Enterprise
CUST-00347,2023-04-23,Referral,Latin America,15,Free
CUST-00348,2023-05-04,Content Marketing,North America,8,Free
CUST-00349,2023-05-02,Organic Search,Europe,9,Pro
CUST-00350,2023-05-21,Paid Ads,Asia Pacific,12,Free
CUST-00351,2023-05-23,Content Marketing,Europe,23,Pro
CUST-00352,2023-05-05,Paid Ads,North America,4,Free
CUST-00353,2023-05-07,Paid Ads,North America,14,Free
CUST-00354,2023-05-08,Paid Ads,North America,10,Pro
CUST-00355,2023-05-09,Organic Search,Europe,14,Free
CUST-00356,2023-05-21,Outbound Sales,North America,2788,Enterprise
CUST-00357,2023-05-18,Organic Search,Europe,160,Business
CUST-00358,2023-05-17,Organic Search,Latin America,24,Pro
CUST-00359,2023-05-22,Organic Search,Asia Pacific,26,Pro
CUST-00360,2023-05-01,Outbound Sales,North America,3610,Enterprise
CUST-00361,2023-05-11,Organic Search,Europe,25,Pro
CUST-00362,2023-05-23,Content Marketing,Europe,32,Pro
CUST-00363,2023-05-22,Referral,North America,4,Free
CUST-00364,2023-05-24,Content Marketing,Latin America,34,Pro
CUST-00365,2023-05-11,Outbound Sales,North America,815,Enterprise
CUST-00366,2023-05-26,Content Marketing,Europe,12,Free
CUST-00367,2023-05-09,Content Marketing,Europe,12,Free
CUST-00368,2023-05-02,Organic Search,North America,15,Free
CUST-00369,2023-05-23,Content Marketing,North America,24,Business
CUST-00370,2023-05-05,Paid Ads,North America,37,Pro
CUST-00371,2023-05-25,Paid Ads,North America,46,Pro
CUST-00372,2023-05-22,Content Marketing,Europe,19,Free
CUST-00373,2023-05-27,Outbound Sales,North America,1842,Enterprise
CUST-00374,2023-05-12,Referral,Europe,19,Free
CUST-00375,2023-05-21,Paid Ads,Asia Pacific,12,Free
CUST-00376,2023-05-06,Paid Ads,Asia Pacific,16,Free
CUST-00377,2023-05-27,Paid Ads,Europe,7,Free
CUST-00378,2023-05-15,Paid Ads,North America,18,Free
CUST-00379,2023-05-11,Paid Ads,North America,8,Pro
CUST-00380,2023-05-06,Organic Search,North America,13,Pro
CUST-00381,2023-05-13,Organic Search,North America,9,Free
CUST-00382,2023-05-19,Content Marketing,Europe,37,Pro
CUST-00383,2023-05-11,Paid Ads,North America,166,Business
CUST-00384,2023-05-20,Content Marketing,North America,248,Business
CUST-00385,2023-05-13,Paid Ads,North America,21,Pro
CUST-00386,2023-05-13,Organic Search,North America,8,Free
CUST-00387,2023-05-25,Organic Search,Asia Pacific,5,Free
CUST-00388,2023-05-08,Organic Search,North America,30,Pro
CUST-00389,2023-05-26,Outbound Sales,North America,313,Enterprise
CUST-00390,2023-05-23,Organic Search,North America,8,Free
CUST-00391,2023-05-05,Paid Ads,North America,2,Free
CUST-00392,2023-05-06,Content Marketing,Asia Pacific,9,Pro
CUST-00393,2023-05-23,Outbound Sales,Asia Pacific,1391,Enterprise
CUST-00394,2023-05-24,Organic Search,North America,17,Free
CUST-00395,2023-05-21,Organic Search,Europe,11,Free
CUST-00396,2023-05-26,Organic Search,Asia Pacific,4,Free
CUST-00397,2023-05-24,Organic Search,Europe,4,Pro
CUST-00398,2023-05-23,Organic Search,Asia Pacific,4,Pro
CUST-00399,2023-05-04,Paid Ads,North America,22,Pro
CUST-00400,2023-05-14,Content Marketing,Europe,13,Free
CUST-00401,2023-05-22,Paid Ads,North America,41,Pro
CUST-00402,2023-05-20,Referral,North America,195,Business
CUST-00403,2023-05-06,Organic Search,Europe,40,Pro
CUST-00404,2023-05-20,Content Marketing,Latin America,2,Pro
CUST-00405,2023-05-10,Paid Ads,Latin America,20,Pro
CUST-00406,2023-05-27,Content Marketing,Europe,5,Pro
CUST-00407,2023-05-24,Content Marketing,North America,12,Free
CUST-00408,2023-05-11,Paid Ads,Asia Pacific,12,Free
CUST-00409,2023-05-09,Organic Search,Asia Pacific,197,Business
CUST-00410,2023-05-17,Organic Search,North America,13,Pro
CUST-00411,2023-05-01,Paid Ads,Asia Pacific,47,Pro
CUST-00412,2023-05-16,Content Marketing,Europe,7,Free
CUST-00413,2023-05-10,Paid Ads,North America,9,Free
CUST-00414,2023-05-11,Content Marketing,North America,42,Pro
CUST-00415,2023-05-21,Paid Ads,North America,19,Pro
CUST-00416,2023-05-21,Organic Search,Asia Pacific,5,Free
CUST-00417,2023-05-15,Organic Search,North America,28,Pro
CUST-00418,2023-05-07,Referral,North America,40,Pro
CUST-00419,2023-05-20,Referral,Latin America,9,Free
CUST-00420,2023-05-15,Paid Ads,Asia Pacific,46,Pro
CUST-00421,2023-05-18,Organic Search,Europe,4,Pro
CUST-00422,2023-05-22,Referral,Asia Pacific,16,Free
CUST-00423,2023-05-04,Organic Search,Europe,3,Free
CUST-00424,2023-05-25,Content Marketing,Asia Pacific,172,Business
CUST-00425,2023-05-06,Organic Search,North America,6,Free
CUST-00426,2023-05-02,Organic Search,North America,8,Free
CUST-00427,2023-05-04,Paid Ads,North America,17,Business
CUST-00428,2023-05-21,Paid Ads,Europe,6,Pro
CUST-00429,2023-05-18,Paid Ads,Asia Pacific,16,Pro
CUST-00430,2023-05-13,Paid Ads,Europe,8,Free
CUST-00431,2023-05-05,Outbound Sales,Europe,527,Enterprise
CUST-00432,2023-05-05,Paid Ads,North America,22,Pro
CUST-00433,2023-05-09,Paid Ads,Asia Pacific,14,Free
CUST-00434,2023-05-03,Paid Ads,Asia Pacific,44,Pro
CUST-00435,2023-05-06,Organic Search,North America,38,Pro
CUST-00436,2023-05-08,Paid Ads,Asia Pacific,7,Pro
CUST-00437,2023-05-15,Organic Search,North America,18,Pro
CUST-00438,2023-05-17,Referral,Europe,9,Pro
CUST-00439,2023-05-19,Organic Search,Europe,12,Free
CUST-00440,2023-05-13,Outbound Sales,North America,3806,Enterprise
CUST-00441,2023-05-07,Paid Ads,North America,19,Free
CUST-00442,2023-05-07,Content Marketing,Asia Pacific,15,Free
CUST-00443,2023-05-21,Paid Ads,Europe,3,Pro
CUST-00444,2023-05-17,Organic Search,Europe,5,Pro
CUST-00445,2023-05-15,Content Marketing,Europe,240,Business
CUST-00446,2023-05-02,Referral,Asia Pacific,7,Pro
CUST-00447,2023-05-25,Content Marketing,Europe,26,Pro
CUST-00448,2023-05-26,Paid Ads,Europe,19,Free
CUST-00449,2023-05-06,Referral,North America,22,Pro
CUST-00450,2023-05-12,Content Marketing,North America,13,Free
CUST-00451,2023-05-01,Referral,Asia Pacific,36,Pro
CUST-00452,2023-05-26,Paid Ads,North America,7,Pro
CUST-00453,2023-05-09,Referral,Europe,4,Free
CUST-00454,2023-05-21,Referral,North America,15,Pro
CUST-00455,2023-05-14,Outbound Sales,Asia Pacific,4733,Enterprise
CUST-00456,2023-05-27,Paid Ads,Asia Pacific,19,Pro
CUST-00457,2023-05-07,Paid Ads,North America,7,Free
CUST-00458,2023-05-27,Content Marketing,Europe,15,Free
