cohort_month,months_since_signup,active_customers,cohort_size,retention_rate
2023-03-01,19,29,104,0.27884615384615385
2023-03-01,20,28,104,0.2692307692307692
2023-03-01,21,28,104,0.2692307692307692
2023-04-01,0,102,102,1.0
2023-04-01,1,98,102,0.9607843137254902
2023-04-01,2,86,102,0.8431372549019608
2023-04-01,3,79,102,0.7745098039215687
2023-04-01,4,73,102,0.7156862745098039
2023-04-01,5,64,102,0.6274509803921569
2023-04-01,6,60,102,0.5882352941176471
2023-04-01,7,54,102,0.5294117647058824
2023-04-01,8,54,102,0.5294117647058824
2023-04-01,9,51,102,0.5
2023-04-01,10,49,102,0.4803921568627451
2023-04-01,11,47,102,0.46078431372549017
2023-04-01,12,45,102,0.4411764705882353
2023-04-01,13,42,102,0.4117647058823529
2023-04-01,14,41,102,0.4019607843137255
2023-04-01,15,41,102,0.4019607843137255
2023-04-01,16,39,102,0.38235294117647056
2023-04-01,17,36,102,0.35294117647058826
2023-04-01,18,36,102,0.35294117647058826
2023-04-01,19,36,102,0.35294117647058826
2023-04-01,20,35,102,0.3431372549019608
2023-05-01,0,135,135,1.0
2023-05-01,1,124,135,0.9185185185185185
2023-05-01,2,109,135,0.8074074074074075
2023-05-01,3,104,135,0.7703703703703704
2023-05-01,4,97,135,0.7185185185185186
2023-05-01,5,94,135,0.6962962962962963
2023-05-01,6,91,135,0.674074074074074
2023-05-01,7,85,135,0.6296296296296297
2023-05-01,8,82,135,0.6074074074074074
2023-05-01,9,80,135,0.5925925925925926
2023-05-01,10,78,135,0.5777777777777777
2023-05-01,11,71,135,0.5259259259259259
2023-05-01,12,70,135,0.5185185185185185
2023-05-01,13,69,135,0.5111111111111111
2023-05-01,14,66,135,0.4888888888888889
2023-05-01,15,64,135,0.4740740740740741
2023-05-01,16,60,135,0.4444444444444444
2023-05-01,17,54,135,0.4
2023-05-01,18,51,135,0.37777777777777777
2023-05-01,19,50,135,0.37037037037037035
2023-06-01,0,151,151,1.0
2023-06-01,1,125,151,0.8278145695364238
2023-06-01,2,112,151,0.7417218543046358
2023-06-01,3,106,151,0.7019867549668874
2023-06-01,4,96,151,0.6357615894039735
2023-06-01,5,92,151,0.609271523178808
2023-06-01,6,89,151,0.5894039735099338
2023-06-01,7,84,151,0.5562913907284768
2023-06-01,8,80,151,0.5298013245033113
2023-06-01,9,79,151,0.5231788079470199
2023-06-01,10,72,151,0.4768211920529801
2023-06-01,11,68,151,0.4503311258278146
2023-06-01,12,62,151,0.4105960264900662
2023-06-01,13,57,151,0.37748344370860926
2023-06-01,14,57,151,0.37748344370860926
2023-06-01,15,57,151,0.37748344370860926
2023-06-01,16,55,151,0.36423841059602646
2023-06-01,17,53,151,0.3509933774834437
2023-06-01,18,52,151,0.3443708609271523
2023-07-01,0,133,133,1.0
2023-07-01,1,119,133,0.8947368421052632
2023-07-01,2,104,133,0.7819548872180451
2023-07-01,3,98,133,0.7368421052631579
2023-07-01,4,93,133,0.6992481203007519
2023-07-01,5,83,133,0.6240601503759399
2023-07-01,6,77,133,0.5789473684210527
2023-07-01,7,70,133,0.5263157894736842
2023-07-01,8,66,133,0.49624060150375937
2023-07-01,9,63,133,0.47368421052631576
2023-07-01,10,60,133,0.45112781954887216
2023-07-01,11,57,133,0.42857142857142855
2023-07-01,12,55,133,0.41353383458646614
2023-07-01,13,55,133,0.41353383458646614
2023-07-01,14,55,133,0.41353383458646614
2023-07-01,15,53,133,0.39849624060150374
2023-07-01,16,51,133,0.38345864661654133
2023-07-01,17,48,133,0.3609022556390977
2023-08-01,0,153,153,1.0
2023-08-01,1,140,153,0.9150326797385621
2023-08-01,2,117,153,0.7647058823529411
2023-08-01,3,108,153,0.7058823529411765
2023-08-01,4,105,153,0.6862745098039216
2023-08-01,5,97,153,0.6339869281045751
2023-08-01,6,92,153,0.6013071895424836
2023-08-01,7,88,153,0.5751633986928104
2023-08-01,8,86,153,0.5620915032679739
2023-08-01,9,85,153,0.5555555555555556
2023-08-01,10,79,153,0.5163398692810458
2023-08-01,11,76,153,0.49673202614379086
2023-08-01,12,73,153,0.477124183006536
2023-08-01,13,69,153,0.45098039215686275
2023-08-01,14,67,153,0.43790849673202614
2023-08-01,15,64,153,0.41830065359477125
2023-08-01,16,59,153,0.38562091503267976
2023-09-01,0,198,198,1.0
2023-09-01,1,183,198,0.9242424242424242
2023-09-01,2,168,198,0.8484848484848485
2023-09-01,3,158,198,0.797979797979798
2023-09-01,4,149,198,0.7525252525252525
2023-09-01,5,138,198,0.696969696969697
2023-09-01,6,129,198,0.6515151515151515
2023-09-01,7,123,198,0.6212121212121212
2023-09-01,8,119,198,0.601010101010101
2023-09-01,9,117,198,0.5909090909090909
2023-09-01,10,109,198,0.5505050505050505
2023-09-01,11,106,198,0.5353535353535354
2023-09-01,12,96,198,0.48484848484848486
2023-09-01,13,93,198,0.4696969696969697
2023-09-01,14,91,198,0.4595959595959596
2023-09-01,15,86,198,0.43434343434343436
2023-10-01,0,210,210,1.0
2023-10-01,1,184,210,0.8761904761904762
2023-10-01,2,166,210,0.7904761904761904
2023-10-01,3,150,210,0.7142857142857143
2023-10-01,4,137,210,0.6523809523809524
2023-10-01,5,128,210,0.6095238095238096
2023-10-01,6,125,210,0.5952380952380952
2023-10-01,7,121,210,0.5761904761904761
2023-10-01,8,115,210,0.5476190476190477
2023-10-01,9,110,210,0.5238095238095238
2023-10-01,10,103,210,0.49047619047619045
2023-10-01,11,97,210,0.46190476190476193
2023-10-01,12,91,210,0.43333333333333335
2023-10-01,13,86,210,0.4095238095238095
2023-10-01,14,83,210,0.3952380952380952
2023-11-01,0,233,233,1.0
2023-11-01,1,204,233,0.8755364806866953
2023-11-01,2,177,233,0.759656652360515
2023-11-01,3,165,233,0.7081545064377682
2023-11-01,4,156,233,0.6695278969957081
2023-11-01,5,146,233,0.6266094420600858
2023-11-01,6,129,233,0.5536480686695279
2023-11-01,7,121,233,0.51931330472103
2023-11-01,8,113,233,0.48497854077253216
2023-11-01,9,105,233,0.45064377682403434
2023-11-01,10,97,233,0.41630901287553645
2023-11-01,11,93,233,0.39914163090128757
2023-11-01,12,90,233,0.38626609442060084
2023-11-01,13,87,233,0.37339055793991416
2023-12-01,0,149,149,1.0
2023-12-01,1,129,149,0.8657718120805369
2023-12-01,2,118,149,0.7919463087248322
2023-12-01,3,111,149,0.7449664429530202
2023-12-01,4,106,149,0.7114093959731543
2023-12-01,5,99,149,0.6644295302013423
2023-12-01,6,95,149,0.6375838926174496
2023-12-01,7,93,149,0.6241610738255033
2023-12-01,8,90,149,0.6040268456375839
2023-12-01,9,84,149,0.5637583892617449
2023-12-01,10,81,149,0.5436241610738255
2023-12-01,11,75,149,0.5033557046979866
2023-12-01,12,71,149,0.47651006711409394
2024-01-01,0,188,188,1.0
2024-01-01,1,168,188,0.8936170212765957
2024-01-01,2,152,188,0.8085106382978723
2024-01-01,3,146,188,0.776595744680851
2024-01-01,4,135,188,0.7180851063829787
2024-01-01,5,122,188,0.648936170212766
2024-01-01,6,115,188,0.6117021276595744
2024-01-01,7,108,188,0.574468085106383
2024-01-01,8,102,188,0.5425531914893617
2024-01-01,9,100,188,0.5319148936170213
2024-01-01,10,98,188,0.5212765957446809
2024-01-01,11,92,188,0.48936170212765956
2024-02-01,0,244,244,1.0
2024-02-01,1,216,244,0.8852459016393442
2024-02-01,2,184,244,0.7540983606557377
2024-02-01,3,177,244,0.7254098360655737
2024-02-01,4,161,244,0.6598360655737705
2024-02-01,5,154,244,0.6311475409836066
2024-02-01,6,146,244,0.5983606557377049
2024-02-01,7,141,244,0.5778688524590164
2024-02-01,8,133,244,0.5450819672131147
2024-02-01,9,125,244,0.5122950819672131
2024-02-01,10,117,244,0.47950819672131145
2024-03-01,0,258,258,1.0
2024-03-01,1,226,258,0.875968992248062
2024-03-01,2,205,258,0.7945736434108527
2024-03-01,3,189,258,0.7325581395348837
2024-03-01,4,174,258,0.6744186046511628
2024-03-01,5,163,258,0.6317829457364341
2024-03-01,6,157,258,0.6085271317829457
2024-03-01,7,147,258,0.5697674418604651
2024-03-01,8,138,258,0.5348837209302325
2024-03-01,9,133,258,0.5155038759689923
2024-04-01,0,277,277,1.0
2024-04-01,1,246,277,0.8880866425992779
2024-04-01,2,216,277,0.779783393501805
2024-04-01,3,201,277,0.7256317689530686
2024-04-01,4,187,277,0.6750902527075813
2024-04-01,5,179,277,0.6462093862815884
2024-04-01,6,169,277,0.6101083032490975
2024-04-01,7,162,277,0.5848375451263538
2024-04-01,8,154,277,0.555956678700361
2024-05-01,0,295,295,1.0
2024-05-01,1,260,295,0.8813559322033898
2024-05-01,2,227,295,0.7694915254237288
2024-05-01,3,211,295,0.7152542372881356
2024-05-01,4,192,295,0.6508474576271186
2024-05-01,5,180,295,0.6101694915254238
2024-05-01,6,171,295,0.5796610169491525
2024-05-01,7,165,295,0.559322033898305
2024-06-01,0,275,275,1.0
2024-06-01,1,243,275,0.8836363636363637
2024-06-01,2,218,275,0.7927272727272727
2024-06-01,3,202,275,0.7345454545454545
2024-06-01,4,192,275,0.6981818181818182
2024-06-01,5,182,275,0.6618181818181819
2024-06-01,6,171,275,0.6218181818181818
2024-07-01,0,226,226,1.0
2024-07-01,1,205,226,0.9070796460176991
2024-07-01,2,185,226,0.8185840707964602
2024-07-01,3,173,226,0.7654867256637168
2024-07-01,4,162,226,0.7168141592920354
2024-07-01,5,152,226,0.672566371681416
2024-08-01,0,291,291,1.0
2024-08-01,1,253,291,0.8694158075601375
2024-08-01,2,224,291,0.7697594501718213
2024-08-01,3,212,291,0.7285223367697594
2024-08-01,4,196,291,0.6735395189003437
2024-09-01,0,340,340,1.0
2024-09-01,1,305,340,0.8970588235294118
2024-09-01,2,275,340,0.8088235294117647
2024-09-01,3,258,340,0.7588235294117647
2024-10-01,0,368,368,1.0
2024-10-01,1,338,368,0.9184782608695652
2024-10-01,2,300,368,0.8152173913043478
2024-11-01,0,389,389,1.0
2024-11-01,1,336,389,0.8637532133676092
2024-12-01,0,282,282,1.0
